thefe|these
fuch|such
thofe|those
fome|some
tlie|the
tbe|the
moft|most
firft|first
muft|must
faid|said
fhould|should
againft|against
himfelf|himself
alfo|also
fhe|she
fhall|shall
themfelves|themselves
prefent|present
reafon|reason
becaufe|because
feveral|several
ufe|use
laft|last
houfe|house
lefs|less
whofe|whose
ftill|still
ftate|state
perfon|person
perfons|persons
foon|soon
caufe|cause
fmall|small
thev|they
fent|sent
fea|sea
leaft|least
juft|just
fince|since
whieh|which
beft|best
thoufand|thousand
itfelf|itself
witli|with
feen|seen
purpofe|purpose
almoft|almost
feems|seems
fecond|second
fue|sue
occafion|occasion
chrift|christ
hiftory|history
neceflary|necessary
courfe|course
fometimes|sometimes
greateft|greatest
intereft|interest
englifh|english
ufed|used
anfwer|answer
obferved|observed
fpirit|spirit
fufficient|sufficient
pleafure|pleasure
likewife|likewise
fenfe|sense
juftice|justice
confidered|considered
fubject|subject
confequence|consequence
circumftances|circumstances
fung|sung
befides|besides
lnformation|information
pref|pres
ftrong|strong
majefty|majesty
jos|jose
diftance|distance
feem|seem
fhort|short
fong|song
ifland|island
pafs|pass
happinefs|happiness
fuppofed|supposed
chriftian|christian
eafily|easily
defign|design
frst|first
defire|desire
myfelf|myself
fuppofe|suppose
fervice|service
mafter|master
efpecially|especially
fupport|support
onlv|only
queftion|question
refpect|respect
fituation|situation
felf|self
meafure|measure
houfes|houses
fpeak|speak
eaft|east
wifdom|wisdom
obferve|observe
luft|lust
vour|your
inftead|instead
caufes|causes
conftitution|constitution
eafy|easy
raifed|raised
fociety|society
fuccefs|success
fand|sand
otherwife|otherwise
unlefs|unless
tbat|that
inftance|instance
fyftem|system
ftrength|strength
fomething|something
bufinefs|business
lofs|loss
feven|seven
fpecies|species
feemed|seemed
poffible|possible
ftir|stir
ourfelves|ourselves
tafte|taste
horfe|horse
ufeful|useful
lnternet|internet
fuperior|superior
ferve|serve
amongft|amongst
fure|sure
falfe|false
ltalia|italia
lntroduction|introduction
difcovered|discovered
wifh|wish
cceur|coeur
gofpel|gospel
confequently|consequently
bifhop|bishop
pleafed|pleased
progrefs|progress
lsrael|israel
notwithftanding|notwithstanding
eftablifhed|established
neceffary|necessary
whicli|which
jefus|jesus
fuffer|suffer
meafures|measures
reafons|reasons
minifters|ministers
exercife|exercise
ltalian|italian
refolved|resolved
clofe|close
increafe|increase
ufual|usual
lonization|ionization
whilft|whilst
propofed|proposed
fenfible|sensible
confideration|consideration
trav|tray
higheft|highest
ftand|stand
coaft|coast
printf|prints
verv|very
manv|many
inftances|instances
minifter|minister
lnstead|instead
neceffity|necessity
exprefs|express
lndustrial|industrial
nternational|international
fingle|single
utmoft|utmost
lndex|index
ceuvres|oeuvres
fhew|shew
ceuvre|oeuvre
underftood|understood
circumftance|circumstance
eftate|estate
raife|raise
paft|past
flgure|figure
lndeed|indeed
fentiments|sentiments
univerfal|universal
westem|western
everv|every
chriftians|christians
feldom|seldom
pafled|passed
occafions|occasions
cuftom|custom
difpofition|disposition
fubjects|subjects
obfervations|observations
fick|sick
horfes|horses
signifcant|significant
fupply|supply
fuffered|suffered
underftanding|understanding
oppofition|opposition
caftle|castle
defcription|description
efter|ester
difcover|discover
facred|sacred
defired|desired
vaft|vast
oppofite|opposite
obfervation|observation
philofophy|philosophy
reprefented|represented
lpez|lopez
refolution|resolution
diftant|distant
caft|cast
defcribed|described
truft|trust
prefence|presence
exiftence|existence
juftly|justly
lslam|islam
compofed|composed
fimilar|similar
fouth|south
goodnefs|goodness
fecret|secret
expofed|exposed
confent|consent
faying|saying
britifh|british
publifhed|published
fets|sets
iflands|islands
ftone|stone
converfation|conversation
underftand|understand
fufficiently|sufficiently
specifc|specific
induftry|industry
pleafe|please
len|leon
fecure|secure
foldiers|soldiers
confequences|consequences
fpeaking|speaking
lndustry|industry
fhips|ships
abb|abbe
impoffible|impossible
prefented|presented
fupported|supported
preferve|preserve
arife|arise
fecurity|security
diftinguifhed|distinguished
fimple|simple
promife|promise
praife|praise
anfwered|answered
lncome|income
paflage|passage
andr|andre
wth|with
htel|hotel
difcourfe|discourse
senfe|sense
paffions|passions
fhip|ship
worfhip|worship
fgure|figure
fliould|should
herfelf|herself
chofen|chosen
conftant|constant
increafed|increased
lslamic|islamic
citv|city
paffion|passion
fpace|space
furface|surface
fovereign|sovereign
fcarce|scarce
purpofes|purposes
extenfive|extensive
affiftance|assistance
fave|save
eafe|ease
glafs|glass
lofe|lose
chriftianity|christianity
filver|silver
abfolute|absolute
efteem|esteem
difpofed|disposed
parifh|parish
addrefs|address
perfonal|personal
fnally|finally
gmez|gomez
crofs|cross
fcarcely|scarcely
fite|site
ufually|usually
abfolutely|absolutely
deftroy|destroy
fervants|servants
reafonable|reasonable
difeafe|disease
ftates|states
fnancial|financial
cedipus|oedipus
preferved|preserved
occafioned|occasioned
sucli|such
confcience|conscience
fomewhat|somewhat
feafon|season
ftudy|study
fgures|figures
fcene|scene
fucceeded|succeeded
provifions|provisions
fubftance|substance
adminiftration|administration
rle|role
promifed|promised
conftantly|constantly
wlth|with
interefts|interests
witb|with
tlieir|their
fafety|safety
deftroyed|destroyed
nstitute|institute
fooner|sooner
punifhment|punishment
feparate|separate
friendfhip|friendship
refufed|refused
fpring|spring
ferved|served
confifts|consists
offce|office
pleafures|pleasures
chureh|church
lslands|islands
lndonesia|indonesia
efcape|escape
fpiritual|spiritual
rofe|rose
fg|fig
lbid|ibid
fatisfied|satisfied
hufband|husband
itf|its
ramn|ramon
liave|have
fpread|spread
fcience|science
defigns|designs
vifit|visit
taff|tass
tbis|this
worfe|worse
honeft|honest
fevere|severe
folid|solid
reafoning|reasoning
historv|history
aflembly|assembly
fpirits|spirits
confidering|considering
lnternal|internal
ftrange|strange
poft|post
caufed|caused
teftimony|testimony
confufion|confusion
flrst|first
fudden|sudden
studv|study
ths|this
fervant|servant
fentence|sentence
svstem|system
furely|surely
clafs|class
lmage|image
veflels|vessels
difcovery|discovery
eftates|estates
perfuaded|persuaded
diffcult|difficult
frefh|fresh
thcir|their
ftrongly|strongly
hif|his
vifible|visible
fliall|shall
feized|seized
thec|thee
mifery|misery
earlv|early
bifhops|bishops
fpeech|speech
bodv|body
conclufion|conclusion
prifoners|prisoners
fize|size
philofophers|philosophers
mofes|moses
ftyle|style
difpute|dispute
fole|sole
familv|family
fword|sword
afk|ask
fale|sale
afked|asked
extemal|external
divifion|division
priefts|priests
lnterest|interest
diftrefs|distress
miniftry|ministry
califomia|california
fafe|safe
cuftoms|customs
drefs|dress
fituated|situated
auguft|august
refult|result
feek|seek
apoftles|apostles
fpoken|spoken
thce|thee
fource|source
offcial|official
verfe|verse
partv|party
fhewn|shewn
abfurd|absurd
ferious|serious
fubmit|submit
montferrat|montserrat
mafs|mass
scientifc|scientific
apoftle|apostle
maff|mass
reftored|restored
thls|this
northem|northern
tbeir|their
oiher|other
folemn|solemn
fingular|singular
eastem|eastern
signifcance|significance
difcharge|discharge
poffibly|possibly
mafters|masters
weaknefs|weakness
neverthelefs|nevertheless
pofleffion|possession
ftands|stands
lordfhip|lordship
fpoke|spoke
ftood|stood
defned|defined
prefents|presents
davs|days
garrifon|garrison
conqueft|conquest
whatfoever|whatsoever
mifs|miss
grafs|grass
lnvestment|investment
fquare|square
fgure|figure
lnsurance|insurance
latrogenic|iatrogenic
yourfelf|yourself
defigned|designed
prefs|press
purchafe|purchase
ndian|indian
difcipline|discipline
lron|iron
fixty|sixty
whch|which
fupplied|supplied
expreffion|expression
oppofe|oppose
reprefent|represent
fhare|share
purfued|pursued
fcheme|scheme
gaf|gas
wifhed|wished
fpent|spent
refentment|resentment
ftones|stones
fummer|summer
immenfe|immense
ftory|story
fubjeft|subject
aforefaid|aforesaid
oppofed|opposed
exped|expect
requeft|request
fect|sect
compofition|composition
fpot|spot
ftruck|struck
prieft|priest
defires|desires
bcen|been
defirous|desirous
bafe|base
reif|reis
univerfally|universally
fifh|fish
feparated|separated
poflible|possible
miferable|miserable
ther|other
ftep|step
pofition|position
procefs|process
goffe|gosse
pleafing|pleasing
fupreme|supreme
ndia|india
promifes|promises
exprefled|expressed
prifoner|prisoner
efteemed|esteemed
witnefs|witness
afide|aside
mrf|mrs
coft|cost
identifed|identified
flefh|flesh
fiege|siege
miftake|mistake
deferve|deserve
curiofity|curiosity
neceflarily|necessarily
midft|midst
fchool|school
furrounded|surrounded
lieben|lichen
irifh|irish
exift|exist
pofterity|posterity
tliey|they
loofe|loose
centurv|century
profperity|prosperity
diftinct|distinct
altemative|alternative
fervices|services
lncreased|increased
inftrument|instrument
offcers|officers
lndividual|individual
darknefs|darkness
obferving|observing
facrifice|sacrifice
chofe|chose
manifeft|manifest
purfue|pursue
fpeaks|speaks
fatisfaction|satisfaction
pleafant|pleasant
magiftrates|magistrates
rifing|rising
breaft|breast
accuftomed|accustomed
laftly|lastly
prifon|prison
arofe|arose
lth|loth
fex|sex
proteftant|protestant
vidor|victor
fhore|shore
commiffion|commission
refidence|residence
mufic|music
ctober|october
arifing|arising
fages|sages
lncrease|increase
princefs|princess
societv|society
requifite|requisite
eftablifhment|establishment
lth|lath
faxon|saxon
foft|soft
fales|sales
philofopher|philosopher
diftinction|distinction
fenfes|senses
arifes|arises
beneft|benefit
diforder|disorder
universitv|university
fetting|setting
inftitution|institution
fects|sects
eftablifh|establish
provifion|provision
miftaken|mistaken
univerfity|university
faved|saved
fucceed|succeed
profeffion|profession
fnd|find
comparifon|comparison
ftation|station
ecclefiaftical|ecclesiastical
tbey|they
ndeed|indeed
abfence|absence
ufes|uses
lndependent|independent
refpeft|respect
furnifhed|furnished
inftantly|instantly
prefervation|preservation
linois|illinois
